,N2EX,EUA(Ascending)
41682,58.45,6.34
41683,53.68,6.37
41684,55.5,6.57
41685,52.62,6.643333333
41686,54.61,6.716666667
41687,58.24,6.79
41688,57.05,6.73
41689,56.79,6.9
41690,51.42,6.97
41691,52.65,7.12
41692,51.57,7.076666667
41693,46.81,7.033333333
41694,53.32,6.99
41695,50.41,6.21
41696,51.36,6.48
41697,52.32,6.5
41698,57.57,7.06
41699,54.66,6.91
41700,53.6,6.76
41701,56.41,6.61
41702,60.17,6.81
41703,56.7,6.77
41704,55.54,6.8
41705,50.67,6.9
41706,54.02,6.896666667
41707,53.87,6.893333333
41708,54.19,6.89
41709,55.24,6.82
41710,57.53,6.5
41711,56.18,6.43
41712,54.6,6.29
41713,53.18,6.15
41714,48.11,6.01
41715,55.68,5.87
41716,53.13,5.75
41717,50.72,5.99
41718,49.81,6.01
41719,50.45,6.18
41720,50.57,6.073333333
41721,50.11,5.966666667
41722,52.86,5.86
41723,51.42,5.85
41724,53.55,5.8
41725,51.33,5.17
41726,51.65,4.34
41727,49.03,4.44
41728,48.86,4.54
41729,49.1,4.64
41730,51.3,5.04
41731,50.69,4.82
41732,50.11,4.85
41733,49.82,4.68
41734,47.53,4.776666667
41735,47.47,4.873333333
41736,50.08,4.97
41737,46.52,4.85
41738,50.26,4.93
41739,51.5,5.11
41740,50.54,5.31
41741,48.4,5.283333333
41742,45.36,5.256666667
41743,49.58,5.23
41744,51.99,5.53
41745,50.85,5.45
41746,51.46,5.54
41747,51.92,5.54
41748,50.97,5.54
41749,48.7,5.54
41750,46.27,5.54
41751,50.33,5.67
41752,51.8,5.66
41753,50.78,5.71
41754,50.15,5.06
41755,48.62,5.106666667
41756,50.87,5.153333333
41757,52.15,5.2
41758,51.27,5.41
41759,52.88,5.4
41760,50.9,5.41
41761,49.94,5.18
41762,49.98,5.19
41763,47.69,5.2
41764,48.13,5.21
41765,47.29,5.22
41766,48.27,5.12
41767,47.34,5.13
41768,45.78,5.24
41769,46.94,5.26
41770,45.86,5.28
41771,50.96,5.3
41772,51.49,5.28
41773,51.38,5.1
41774,51.58,4.77
41775,48.73,4.79
41776,48.32,4.756666667
41777,47.19,4.723333333
41778,50.3,4.69
41779,47.28,4.84
41780,46.98,5.12
41781,48.06,5.16
41782,49.1,5.12
41783,48.54,5.11
41784,49.4,5.1
41785,47.11,5.09
41786,46.61,5.17
41787,48.11,5.2
41788,47.54,5.2
41789,46.26,5.05
41790,46.44,5.08
41791,45.55,5.11
41792,47.96,5.14
41793,46.71,5.43
41794,46.48,5.39
41795,46.85,5.54
41796,44.31,5.44
41797,42.72,5.47
41798,42.2,5.5
41799,46.07,5.53
41800,45.09,5.49
41801,45.9,5.36
41802,46.48,5.55
41803,47.81,5.66
41804,47.23,5.65
41805,46.23,5.64
41806,48.05,5.63
41807,49.37,5.7
41808,46.56,5.65
41809,45.57,5.54
41810,45.56,5.65
41811,44.55,5.696666667
41812,43.65,5.743333333
41813,43.84,5.79
41814,43.26,5.74
41815,45.82,5.71
41816,45.11,5.7
41817,45.35,5.76
41818,44.38,5.776666667
41819,44.88,5.793333333
41820,45.98,5.81
41821,47.24,6.01
41822,44.51,6.07
41823,43.78,5.99
41824,42.88,5.65
41825,41.74,5.613333333
41826,43.81,5.576666667
41827,45.34,5.54
41828,45.44,5.73
41829,42.63,5.79
41830,44.57,5.66
41831,44.99,5.72
41832,41.9,5.766666667
41833,40.39,5.813333333
41834,43.22,5.86
41835,43.74,5.92
41836,42.69,6.02
41837,45.79,6.13
41838,43.04,5.98
41839,44.7,6
41840,45,6.02
41841,47.32,6.04
41842,46.48,6.15
41843,44.71,6.15
41844,44.29,6.03
41845,45.84,6.11
41846,45.55,6.13
41847,44.57,6.15
41848,47.31,6.17
41849,45.42,6.02
41850,48.27,6.11
41851,46.57,6.19
41852,46.84,6.26
41853,46.94,6.246666667
41854,42.7,6.233333333
41855,46.35,6.22
41856,45.36,6.18
41857,44.88,6.19
41858,47.19,5.93
41859,48.88,5.96
41860,43.93,6.01
41861,43.61,6.06
41862,42.42,6.11
41863,44.96,6.09
41864,48.63,6.21
41865,51.35,6.21
41866,48.59,6.36
41867,50.01,6.346666667
41868,44.93,6.333333333
41869,46.18,6.32
41870,50.75,6.43
41871,49.96,6.41
41872,49.34,6.34
41873,47.33,6.35
41874,48.65,6.34
41875,48.09,6.33
41876,45.64,6.32
41877,48.91,6.29
41878,48.65,6.35
41879,47.91,6.43
41880,48.44,6.38
41881,49.68,6.383333333
41882,52.45,6.386666667
41883,56.22,6.39
41884,56.69,6.38
41885,58.17,6.32
41886,53.57,6.11
41887,54.49,6.26
41888,52.48,6.263333333
41889,50.71,6.266666667
41890,52.26,6.27
41891,50.52,6.12
41892,51.45,6.08
41893,49.56,6.1
41894,51.57,6.04
41895,53.2,5.996666667
41896,50.08,5.953333333
41897,53.7,5.91
41898,57.36,5.79
41899,56.96,5.88
41900,55.41,5.97
41901,56.65,6.01
41902,56.9,6
41903,55.32,5.99
41904,55.87,5.98
41905,55.62,5.65
41906,54.75,5.8
41907,54.87,5.8
41908,52.13,5.91
41909,56.09,5.856666667
41910,53.42,5.803333333
41911,56.41,5.75
41912,55.19,5.82
41913,59.12,5.79
41914,56.87,5.67
41915,53.46,5.66
41916,54.4,5.66
41917,52.36,5.66
41918,56.47,5.66
41919,56.65,5.72
41920,53.22,6.03
41921,52.89,6.1
41922,55.25,6.02
41923,58.91,6.026666667
41924,58.05,6.033333333
41925,57.19,6.04
41926,59.26,6.07
41927,63.05,6.14
41928,69.05,6.2
41929,61.56,6.12
41930,50.86,6.123333333
41931,45.2,6.126666667
41932,55.19,6.13
41933,49.64,6.17
41934,56.17,6.21
41935,56.53,6.32
41936,57,6.39
41937,51.83,6.35
41938,47.27,6.31
41939,49.51,6.27
41940,54.78,6.15
41941,68.48,6.41
41942,65.59,6.41
41943,54.05,6.34
41944,52.48,6.416666667
41945,48.45,6.493333333
41946,59.22,6.57
41947,69.55,6.47
41948,65.65,6.63
41949,55.45,6.62
41950,52.58,6.75
41951,57.13,6.736666667
41952,61.41,6.723333333
41953,59.07,6.71
41954,55.7,6.79
41955,57.81,6.84
41956,55.68,6.78
41957,54.29,6.61
41958,59.71,6.703333333
41959,58.54,6.796666667
41960,62.7,6.89
41961,62.1,7.01
41962,60.5,7.03
41963,62.37,6.95
41964,58.82,6.99
41965,56.59,7.006666667
41966,55.44,7.023333333
41967,63.44,7.04
41968,66.15,7.12
41969,68,7.19
41970,68.14,7.09
41971,60.84,7.04
41972,62.98,7.05
41973,63.81,7.06
41974,64.73,7.07
41975,61.59,6.85
41976,63.86,6.89
41977,66.78,6.84
41978,61.08,6.66
41979,58.89,6.66
41980,52.66,6.66
41981,56.84,6.66
41982,58.49,6.74
41983,55.55,6.56
41984,57.33,6.74
41985,57.08,6.66
41986,55.57,6.736666667
41987,49.59,6.813333333
41988,55.49,6.89
41989,56.17,6.91
41990,52.28,6.99
41991,52.74,7.04
41992,51.46,7.08
41993,51.32,7.09
41994,51.72,7.1
41995,50.62,7.11
41996,52.03,7.25
41997,49.76,7.37
41998,50.73,7.37
41999,56.9,7.37
